Experiment,Coverage,F1_micro,F1_macro,F1_weighted,PCA
1,0.36520327944864794,0.9104545454545454,0.902296283957017,0.9049876170599344,[0.06620133 0.02896586]
2,0.36520327944864794,0.9440909090909091,0.9406656694367623,0.941390219744141,[0.06620133 0.02896582]
3,0.36520327944864794,0.9181818181818182,0.9175765725016809,0.9183097152704116,[0.06620133 0.02896583]
4,0.36520327944864794,0.9454545454545454,0.9429175749430115,0.9436142178853809,[0.06620133 0.02896584]
