Experiment,Coverage,F1_micro,F1_macro,F1_weighted,PCA
1,0.29175634994945404,0.884090909090909,0.8722680584916706,0.8755749833391476,[0.07923333 0.02914882]
2,0.284146482487979,0.8847727272727273,0.8729620185544958,0.8763236335305843,[0.07755623 0.0301848 ]
3,0.29175634994945404,0.884090909090909,0.8722680584916706,0.8755749833391476,[0.07923333 0.02914842]
